,Date,RecordedValue,SiteID
748,2017-09-29,0.0,41O 04850
749,2017-09-30,0.0,41O 04850
750,2017-10-01,0.0,41O 04850
751,2017-10-02,0.0,41O 04850
752,2017-10-03,0.0,41O 04850
812,2017-10-04,0.0,41O 04850
813,2017-10-05,0.0,41O 04850
814,2017-10-06,0.0,41O 04850
815,2017-10-07,0.0,41O 04850
816,2017-10-08,0.0,41O 04850
817,2017-10-09,0.0,41O 04850
818,2017-10-10,0.0,41O 04850
819,2017-10-11,0.0,41O 04850
820,2017-10-12,0.0,41O 04850
821,2017-10-13,0.0,41O 04850
822,2017-10-14,0.0,41O 04850
823,2017-10-15,0.0,41O 04850
824,2017-10-16,0.0,41O 04850
825,2017-10-17,0.0,41O 04850
826,2017-10-18,0.0,41O 04850
827,2017-10-19,0.0,41O 04850
828,2017-10-20,0.0,41O 04850
829,2017-10-21,0.0,41O 04850
830,2017-10-22,0.0,41O 04850
831,2017-10-23,0.0,41O 04850
832,2017-10-24,0.0,41O 04850
833,2017-10-25,0.0,41O 04850
834,2017-10-26,0.0,41O 04850
835,2017-10-27,0.0,41O 04850
1514,2017-10-28,0.0,41O 04850
1516,2017-10-29,0.0,41O 04850
1517,2017-10-30,0.0,41O 04850
1515,2017-10-31,0.0,41O 04850
1518,2017-11-01,0.0,41O 04850
1519,2017-11-02,0.0,41O 04850
747,2018-01-16,,41O 04850
1520,2018-04-01,25.89830173,41O 04850
1521,2018-04-02,23.81639702,41O 04850
1522,2018-04-03,25.14751509,41O 04850
1523,2018-04-04,23.16970545,41O 04850
1524,2018-04-05,22.01235102,41O 04850
1525,2018-04-06,21.09635999,41O 04850
1526,2018-04-07,19.81155154,41O 04850
1528,2018-04-08,21.03449624,41O 04850
1527,2018-04-09,21.32192588,41O 04850
1529,2018-04-10,24.26307459,41O 04850
1530,2018-04-11,29.39661256,41O 04850
1531,2018-04-12,33.33965203,41O 04850
1532,2018-04-13,28.93409674,41O 04850
1533,2018-04-14,27.64807897,41O 04850
1534,2018-04-15,31.73279872,41O 04850
1535,2018-04-16,32.80396155,41O 04850
1536,2018-04-17,31.86651344,41O 04850
1537,2018-04-18,30.22735358,41O 04850
1538,2018-04-19,30.22310996,41O 04850
1539,2018-04-20,31.8768494,41O 04850
1540,2018-04-21,34.96507247,41O 04850
1541,2018-04-22,38.24471929,41O 04850
1542,2018-04-23,38.72444645,41O 04850
1543,2018-04-24,37.04476149,41O 04850
1544,2018-04-25,35.6236268,41O 04850
1545,2018-04-26,37.966531,41O 04850
1546,2018-04-27,43.63471963,41O 04850
1547,2018-04-28,59.65370874,41O 04850
1549,2018-04-29,83.96856515,41O 04850
1548,2018-04-30,91.87788465,41O 04850
1550,2018-05-01,81.04068115,41O 04850
1551,2018-05-02,70.99172155,41O 04850
1552,2018-05-03,67.83010807,41O 04850
1553,2018-05-04,79.52267803,41O 04850
1554,2018-05-05,95.22289715,41O 04850
1555,2018-05-06,105.00411015,41O 04850
1556,2018-05-07,125.20261246,41O 04850
1557,2018-05-08,156.5440641,41O 04850
1558,2018-05-09,169.8229311,41O 04850
1559,2018-05-10,178.12592337,41O 04850
1560,2018-05-11,363.56169113,41O 04850
1561,2018-05-12,234.62683031,41O 04850
1562,2018-05-13,177.9841828,41O 04850
1563,2018-05-14,168.27574952,41O 04850
1564,2018-05-15,174.12468342,41O 04850
1565,2018-05-16,188.48468819,41O 04850
1566,2018-05-17,199.06867573,41O 04850
1567,2018-05-18,197.59424897,41O 04850
1568,2018-05-19,191.85448871,41O 04850
1569,2018-05-20,175.71246143,41O 04850
1570,2018-05-21,169.76246574,41O 04850
1571,2018-05-22,171.2074636,41O 04850
1572,2018-05-23,183.29116228,41O 04850
1573,2018-05-24,185.66743658,41O 04850
1574,2018-05-25,199.2926815,41O 04850
1575,2018-05-26,298.27996246,41O 04850
1576,2018-05-27,325.26265822,41O 04850
1577,2018-05-28,232.28980782,41O 04850
1578,2018-05-29,205.13891737,41O 04850
1579,2018-05-30,188.53319254,41O 04850
1580,2018-05-31,179.40065946,41O 04850
1581,2018-06-01,174.6421381,41O 04850
1582,2018-06-02,155.45533049,41O 04850
1583,2018-06-03,144.99686421,41O 04850
1584,2018-06-04,131.49091984,41O 04850
1585,2018-06-05,128.79459714,41O 04850
1586,2018-06-06,119.41586413,41O 04850
1587,2018-06-07,113.36725862,41O 04850
1588,2018-06-08,108.92564386,41O 04850
1589,2018-06-09,105.65412434,41O 04850
1590,2018-06-10,108.7453115,41O 04850
1591,2018-06-11,97.5375181,41O 04850
1592,2018-06-12,87.07542033,41O 04850
1593,2018-06-13,79.55104387,41O 04850
1594,2018-06-14,72.02511802,41O 04850
1595,2018-06-15,68.97108016,41O 04850
1596,2018-06-16,69.90620086,41O 04850
1597,2018-06-17,112.73298307,41O 04850
1598,2018-06-18,186.20519589,41O 04850
753,2018-06-20,,41O 04850
1599,2018-06-23,535.03447304,41O 04850
1600,2018-06-24,402.72049025,41O 04850
1601,2018-06-25,318.11357688,41O 04850
1602,2018-06-26,253.86778128,41O 04850
1603,2018-06-27,206.98867033,41O 04850
1604,2018-06-28,187.51028907,41O 04850
1605,2018-06-29,171.29003344,41O 04850
1606,2018-06-30,155.2567963,41O 04850
1607,2018-07-01,141.93043935,41O 04850
1608,2018-07-02,129.6417363,41O 04850
1609,2018-07-03,120.63914009,41O 04850
1610,2018-07-04,112.64239976,41O 04850
1611,2018-07-05,105.38654515,41O 04850
1612,2018-07-06,98.99183746,41O 04850
1613,2018-07-07,91.81520459,41O 04850
1614,2018-07-08,87.01794991,41O 04850
1615,2018-07-09,82.56548607,41O 04850
1616,2018-07-10,78.08132669,41O 04850
1617,2018-07-11,73.83657221,41O 04850
1618,2018-07-12,71.68136841,41O 04850
1620,2018-07-13,67.95611324,41O 04850
1619,2018-07-14,65.58572302,41O 04850
1621,2018-07-15,65.94156195,41O 04850
1622,2018-07-16,61.39538498,41O 04850
1623,2018-07-17,58.28469412,41O 04850
1624,2018-07-18,56.25542088,41O 04850
1625,2018-07-19,53.50164029,41O 04850
1626,2018-07-20,53.201577,41O 04850
1627,2018-07-21,51.28472938,41O 04850
1628,2018-07-22,49.2638334,41O 04850
1629,2018-07-23,48.5456098,41O 04850
1630,2018-07-24,47.05422458,41O 04850
1631,2018-07-25,46.02395442,41O 04850
1632,2018-07-26,45.62072388,41O 04850
1633,2018-07-27,46.66391304,41O 04850
1634,2018-07-28,44.78448186,41O 04850
1635,2018-07-29,43.65585396,41O 04850
1636,2018-07-30,40.63145461,41O 04850
1637,2018-07-31,38.64931654,41O 04850
1638,2018-08-01,38.17277793,41O 04850
1639,2018-08-02,36.33578147,41O 04850
1640,2018-08-03,34.65923091,41O 04850
1641,2018-08-04,34.25473485,41O 04850
1642,2018-08-05,34.98666917,41O 04850
1643,2018-08-06,35.04924996,41O 04850
1644,2018-08-07,32.56450728,41O 04850
1645,2018-08-08,31.37848926,41O 04850
1646,2018-08-09,30.56823763,41O 04850
1647,2018-08-10,29.78113005,41O 04850
1648,2018-08-11,29.14203114,41O 04850
1649,2018-08-12,28.77944397,41O 04850
1650,2018-08-13,28.38992917,41O 04850
1651,2018-08-14,29.23829203,41O 04850
1652,2018-08-15,27.65230132,41O 04850
1653,2018-08-16,26.6453452,41O 04850
1654,2018-08-17,26.51422113,41O 04850
1655,2018-08-18,26.07014923,41O 04850
1656,2018-08-19,26.56800763,41O 04850
1657,2018-08-20,27.76928572,41O 04850
1658,2018-08-21,30.71428391,41O 04850
1659,2018-08-22,28.58867881,41O 04850
1660,2018-08-23,26.39942639,41O 04850
1661,2018-08-24,25.76730232,41O 04850
1665,2018-08-25,25.89093481,41O 04850
1666,2018-08-26,25.73900807,41O 04850
1667,2018-08-27,26.58355724,41O 04850
1668,2018-08-28,27.35486982,41O 04850
1669,2018-08-29,25.81804027,41O 04850
1670,2018-08-30,24.25050992,41O 04850
1671,2018-08-31,24.0149883,41O 04850
1672,2018-09-01,24.10023982,41O 04850
1673,2018-09-02,24.336029,41O 04850
1674,2018-09-03,23.66149565,41O 04850
1675,2018-09-04,23.72392308,41O 04850
1676,2018-09-05,24.11598652,41O 04850
1677,2018-09-06,23.41337905,41O 04850
1678,2018-09-07,22.75359571,41O 04850
1679,2018-09-08,22.02798493,41O 04850
1680,2018-09-09,21.54494971,41O 04850
1662,2018-09-10,21.62584638,41O 04850
1663,2018-09-11,21.11382194,41O 04850
1664,2018-09-12,21.56282161,41O 04850
1681,2018-09-13,22.00158813,41O 04850
1682,2018-09-14,22.1996158,41O 04850
1683,2018-09-15,22.99222969,41O 04850
1684,2018-09-16,24.6037045,41O 04850
1685,2018-09-17,23.86099039,41O 04850
1686,2018-09-18,22.25679368,41O 04850
1687,2018-09-19,21.75990918,41O 04850
1688,2018-09-20,21.99479889,41O 04850
1689,2018-09-21,21.71843312,41O 04850
1690,2018-09-22,20.94995734,41O 04850
1691,2018-09-23,20.06025392,41O 04850
1692,2018-09-24,20.18022462,41O 04850
1693,2018-09-25,20.67246043,41O 04850
1694,2018-09-26,20.06285358,41O 04850
1695,2018-09-27,20.09362255,41O 04850
1696,2018-09-28,22.56515476,41O 04850
1697,2018-09-29,22.53396445,41O 04850
1699,2018-09-30,22.50119165,41O 04850
1700,2018-10-01,22.16821872,41O 04850
1698,2018-10-02,22.05947072,41O 04850
805,2018-10-03,26.89625153,41O 04850
1701,2018-10-04,24.69324385,41O 04850
1702,2018-10-05,23.35427194,41O 04850
1703,2018-10-06,22.45165321,41O 04850
1704,2018-10-07,22.07157871,41O 04850
1705,2018-10-08,21.74356159,41O 04850
1706,2018-10-09,22.94751665,41O 04850
1707,2018-10-10,23.26561016,41O 04850
1708,2018-10-11,22.86217695,41O 04850
1709,2018-10-12,22.73489188,41O 04850
1710,2018-10-13,23.50115362,41O 04850
1711,2018-10-14,22.86463815,41O 04850
1712,2018-10-15,22.24567225,41O 04850
1713,2018-10-16,21.62114484,41O 04850
1719,2018-10-17,21.57550809,41O 04850
1714,2018-10-18,21.46525444,41O 04850
1715,2018-10-19,21.15215661,41O 04850
1716,2018-10-20,21.18447658,41O 04850
1717,2018-10-21,20.96236872,41O 04850
1718,2018-10-22,21.00303936,41O 04850
789,2018-10-23,21.05385518,41O 04850
790,2018-10-24,20.80361678,41O 04850
791,2018-10-25,20.58065601,41O 04850
792,2018-10-26,20.72764584,41O 04850
793,2018-10-27,21.29660634,41O 04850
794,2018-10-28,22.20340701,41O 04850
795,2018-10-29,21.56903492,41O 04850
796,2018-10-30,21.16299937,41O 04850
797,2018-10-31,21.00613864,41O 04850
0,2018-11-01,20.93974142,41O 04850
1,2018-11-02,20.80361678,41O 04850
2,2018-11-03,21.47052719,41O 04850
3,2018-11-04,21.12420609,41O 04850
4,2018-11-05,20.77624357,41O 04850
5,2018-11-06,21.0478669,41O 04850
6,2018-11-07,21.45868858,41O 04850
7,2018-11-08,24.8897861,41O 04850
8,2018-11-09,25.50423337,41O 04850
9,2018-11-10,20.66462349,41O 04850
10,2018-11-11,22.543837,41O 04850
11,2018-11-12,22.33456347,41O 04850
12,2018-11-13,19.94176901,41O 04850
13,2018-11-14,20.29461635,41O 04850
14,2018-11-15,19.76644526,41O 04850
15,2018-11-16,19.51722631,41O 04850
16,2018-11-17,21.6153908,41O 04850
17,2018-11-18,25.14751015,41O 04850
18,2018-11-19,21.40675396,41O 04850
19,2018-11-20,20.68183754,41O 04850
20,2018-11-21,21.21880785,41O 04850
21,2018-11-22,21.27900896,41O 04850
22,2018-11-23,21.07690522,41O 04850
23,2018-11-24,20.85679047,41O 04850
24,2018-11-25,21.53829942,41O 04850
25,2018-11-26,23.25368174,41O 04850
26,2018-11-27,20.92910668,41O 04850
27,2018-11-28,20.89294858,41O 04850
28,2018-11-29,20.6568574,41O 04850
29,2018-11-30,20.35928537,41O 04850
30,2018-12-01,20.36349317,41O 04850
31,2018-12-02,20.43726774,41O 04850
